UserID,IPID,AdID,ViewDate
2372555,1374699,19270628,2015-04-26 13:52:27
1598804,356270,396827,2015-05-12 17:19:59
2639227,1232168,16100381,2015-05-15 21:48:38
3452989,782043,29349061,2015-05-14 20:31:45
2366775,1033912,26349249,2015-05-12 13:37:31
476947,448193,31929433,2015-05-02 08:26:51
937085,1596068,14029690,2015-05-13 12:56:00
1592563,1489393,32837176,2015-04-26 22:49:37
2897298,1197144,1198239,2015-05-01 10:05:45
1898577,491598,15076987,2015-05-06 08:44:19
4022645,479386,24694607,2015-05-12 16:55:46
219984,867830,14159990,2015-04-27 22:47:46
877895,1901389,25817303,2015-05-07 12:07:42
3557891,1183653,12579500,2015-05-10 23:13:01
4065833,43055,32015678,2015-05-04 22:02:32
1602511,1232616,18402937,2015-05-11 15:36:42
59959,1291014,16330893,2015-05-04 12:40:25
2449327,1234558,6976106,2015-04-25 19:03:01
3885207,752859,13685227,2015-05-02 20:34:09
402899,1378438,34766371,2015-05-03 20:15:14
1571750,1095490,1715213,2015-04-30 13:04:32
983359,625831,4605536,2015-05-09 20:34:42
1088020,1138818,31674024,2015-05-19 20:56:10
1168540,2055995,13333475,2015-05-10 22:05:18
4331180,1674597,17559504,2015-05-18 14:28:33
1689618,266072,8174668,2015-05-06 09:22:59
1922678,2199457,3044305,2015-05-01 20:59:57
3579998,1530285,15678152,2015-04-30 21:57:15
704730,1937033,11530669,2015-05-17 21:43:57
1701240,1310065,35881835,2015-05-05 15:34:56
3358205,1448134,14461534,2015-04-26 00:38:15
3784330,2053901,35940620,2015-05-09 23:37:23
841125,1659586,12070440,2015-05-13 21:54:35
21409,1798358,26329151,2015-05-12 06:34:30
1897652,2206327,15395131,2015-05-06 18:31:35
1419412,405930,15455330,2015-05-16 22:11:08
779778,1566807,3467510,2015-04-26 12:03:10
3856406,1156334,8642780,2015-05-12 20:29:12
2496096,1911711,26541263,2015-05-10 21:04:12
2692258,1126620,36391280,2015-04-25 23:20:50
600374,1471910,32192022,2015-05-11 21:46:12
2029298,1792628,10930968,2015-05-05 17:05:16
1213717,666560,30293092,2015-04-27 20:47:53
4108564,676519,26764776,2015-05-08 09:09:52
3734391,103540,15040074,2015-05-10 20:32:37
1079195,112495,25938804,2015-05-19 16:36:17
3008418,567310,3577969,2015-04-26 20:55:57
151851,219728,9489973,2015-05-14 22:21:58
3836484,953649,11346626,2015-04-30 19:39:03
3722491,1436346,11933686,2015-05-17 00:25:35
3170023,1940810,8962701,2015-04-29 10:27:19
3699929,1689139,27358169,2015-04-27 11:42:28
2233318,1342689,19297193,2015-05-02 17:03:51
2317212,2048257,24834893,2015-04-28 17:14:45
1202279,689387,15783201,2015-05-12 17:39:03
1398112,868408,3396939,2015-05-03 08:24:26
2745202,2130789,10502547,2015-05-02 16:42:40
262430,1389876,23776434,2015-05-06 22:13:37
1289276,1792962,24359262,2015-04-29 22:50:42
3308482,400055,24030943,2015-05-09 10:08:20
555563,1249392,28593095,2015-05-11 13:36:14
4216576,1627662,386698,2015-05-06 08:53:18
2234333,1712307,12347714,2015-04-29 18:16:35
753408,935885,11508115,2015-05-05 18:46:35
2132805,2026750,25555409,2015-04-27 20:31:56
2632860,199643,26009340,2015-05-05 18:34:01
3993952,1271782,1058383,2015-05-16 12:21:49
185947,1060142,14210497,2015-05-14 23:39:18
295517,1075218,34492581,2015-04-29 12:31:19
3156513,313564,3465542,2015-05-19 14:39:06
1778798,661868,637524,2015-04-27 06:13:32
3916519,1824719,21320079,2015-05-13 15:57:07
4166439,1518101,26018510,2015-05-11 23:28:04
2466903,360592,34980475,2015-05-10 14:10:59
1961810,1130729,30740080,2015-05-02 22:39:24
455971,1132253,14412318,2015-04-28 11:44:46
294902,1571786,32560338,2015-04-29 20:05:08
2656474,2245587,3045927,2015-04-26 22:11:38
3574005,1214104,3803927,2015-05-09 14:59:41
3320497,1962481,17202540,2015-05-03 20:08:55
4002972,1127376,29277336,2015-04-29 21:02:51
2381722,705230,19020987,2015-05-06 14:02:42
2424371,1150387,224095,2015-05-02 03:37:00
4222334,2019688,23886589,2015-05-07 19:55:29
4326590,1667830,16203282,2015-04-29 06:49:53
2159222,234623,22469694,2015-04-29 19:08:40
2464765,734672,34708454,2015-05-03 20:40:48
2374884,758011,13254839,2015-05-15 07:27:21
625771,1951735,15991261,2015-05-07 20:42:00
1482290,66926,23754776,2015-04-28 09:01:10
1670545,1634646,23976468,2015-05-11 00:59:21
3595035,1601289,13087975,2015-05-11 17:12:13
2504417,398879,25207600,2015-05-12 00:17:28
3973227,71700,28696159,2015-04-28 16:42:26
2697397,387491,23273076,2015-04-30 22:09:04
3754565,188543,21787162,2015-05-11 11:03:20
1936404,1122596,21037181,2015-04-29 12:34:28
3250390,999395,2418623,2015-04-29 12:51:53
1519017,1376029,27901836,2015-05-13 11:24:23
242553,1846783,32525540,2015-05-06 21:18:14
2994741,1996591,20578963,2015-05-11 13:00:23
4298432,2266609,17056955,2015-05-07 19:06:02
2539494,453067,28621953,2015-05-01 17:17:18
2899242,1284429,34719868,2015-05-02 22:02:00
2375948,1936344,26596699,2015-05-04 17:08:33
1804986,178205,26921521,2015-05-12 20:23:28
2940660,486640,15790706,2015-05-14 09:35:21
3259573,628024,31260325,2015-05-12 04:44:35
3763666,1893758,25904479,2015-04-30 20:10:21
4154478,1055689,15291585,2015-05-17 12:10:31
1968920,1903939,7007070,2015-05-09 09:27:52
3021540,631956,6896052,2015-04-25 09:52:33
2753954,1239213,2123144,2015-05-08 21:17:47
1982386,108816,7651558,2015-05-08 09:57:35
2184126,443736,17341915,2015-05-18 19:21:23
3176616,1499793,4815745,2015-05-09 09:06:52
532351,2176716,4974992,2015-04-30 22:56:26
908152,99721,28797459,2015-05-01 22:33:31
429891,1365156,35222714,2015-05-16 12:30:02
2171986,2194000,22762326,2015-05-04 17:47:26
3628273,1913867,27155366,2015-05-14 10:05:55
3372891,1273976,11574439,2015-05-15 07:29:52
2359254,193214,27278286,2015-05-19 16:32:31
2093405,954494,22407632,2015-05-08 01:57:12
3579069,2107767,33108571,2015-05-01 20:53:33
4182077,399643,19864858,2015-05-01 13:48:05
381453,1953633,14937749,2015-04-28 22:41:46
3140437,2105335,27632423,2015-05-12 19:31:27
1935005,2050972,2110287,2015-04-30 09:56:12
1400564,618681,15801555,2015-05-18 12:15:38
3690853,2028092,9159843,2015-05-09 20:06:02
1262999,2120995,18620267,2015-05-15 20:40:14
611665,659482,2559629,2015-04-28 23:22:35
224033,2138792,3751653,2015-05-06 09:37:09
1415183,1111233,32968203,2015-05-03 16:17:29
3532639,780985,35762282,2015-05-13 10:28:12
758635,1233205,35313652,2015-05-15 21:30:01
1561633,2068174,8995722,2015-04-26 17:36:18
3911691,1355186,18348874,2015-05-03 17:22:20
1520954,846343,2460287,2015-04-25 09:10:48
3051012,1528122,1472689,2015-05-17 09:00:54
3452148,2958,20363253,2015-05-13 17:04:09
477093,722668,30110169,2015-05-12 20:23:12
3881422,462912,21473639,2015-05-06 05:04:56
3084673,1516188,20712164,2015-05-12 23:02:16
3099351,188412,29457921,2015-05-07 21:52:21
3444336,125238,1024510,2015-05-09 12:01:51
3900373,1144425,32189735,2015-04-30 15:43:37
3408134,1565585,20690871,2015-05-08 16:17:10
3375007,1590103,27440047,2015-05-10 16:08:16
821804,1694229,32663085,2015-05-08 11:25:07
4236087,1059991,8947611,2015-05-05 09:33:53
1247209,76707,2894913,2015-05-19 16:08:41
1940529,1446678,31993362,2015-05-20 10:09:12
3563236,481944,34345576,2015-05-11 15:53:38
3650824,1941902,312708,2015-05-12 21:16:04
361414,1164133,16268091,2015-04-30 22:35:36
2578178,149635,17576426,2015-04-29 13:29:59
1107487,644514,32419493,2015-04-29 17:18:51
2644942,26713,24944578,2015-05-09 15:27:00
